"1","1","1","بِسْمِ اللَّهِ الرَّحْمَـٰنِ الرَّحِيمِ","اللہ کے نام سے جو رحمان و رحیم ہے","In the name of Allah, the Merciful, the Compassionate"
"3355","29","15","فَأَنجَيْنَاهُ وَأَصْحَابَ السَّفِينَةِ وَجَعَلْنَاهَا آيَةً لِّلْعَالَمِينَ","پھر نوحؑ کو اور کشتی والوں کو ہم نے بچا لیا اور اُسے دنیا والوں کے لیے ایک نشان عبرت بنا کر رکھ دیا","Then We rescued Noah together with the people in the Ark and made it (that is, the Ark) a lesson for all people."
"3356","29","16","وَإِبْرَاهِيمَ إِذْ قَالَ لِقَوْمِهِ اعْبُدُوا اللَّهَ وَاتَّقُوهُ ۖ ذَٰلِكُمْ خَيْرٌ لَّكُمْ إِن كُنتُمْ تَعْلَمُونَ","اور ابراہیمؑ کو بھیجا جبکہ اُس نے اپنی قوم سے کہا ""اللہ کی بندگی کرو اور اُس سے ڈرو یہ تمہارے لیے بہتر ہے اگر تم جانو","We sent Abraham and he said to his people: “Serve Allah and fear Him. This is better for you if you only knew."
"3357","29","17","إِنَّمَا تَعْبُدُونَ مِن دُونِ اللَّهِ أَوْثَانًا وَتَخْلُقُونَ إِفْكًا ۚ إِنَّ الَّذِينَ تَعْبُدُونَ مِن دُونِ اللَّهِ لَا يَمْلِكُونَ لَكُمْ رِزْقًا فَابْتَغُوا عِندَ اللَّهِ الرِّزْقَ وَاعْبُدُوهُ وَاشْكُرُوا لَهُ ۖ إِلَيْهِ تُرْجَعُونَ","تم اللہ کو چھوڑ کر جنہیں پوج رہے ہو وہ تو محض بت ہیں اور تم ایک جھوٹ گھڑ رہے ہو در حقیقت اللہ کے سوا جن کی تم پرستش کرتے ہو وہ تمہیں کوئی رزق بھی دینے کا اختیار نہیں رکھتے اللہ سے رزق مانگو اور اُسی کی بندگی کرو اور اس کا شکر ادا کرو، اسی کی طرف تم پلٹائے جانے والے ہو","Those that you worship instead of Allah are merely idols, and you are simply inventing lies (about them). Indeed those whom you worship beside Allah have no power to provide you with any sustenance. So seek your sustenance from Allah and serve only Him and give thanks to Him alone. It is to Him that you will be sent back."
"3358","29","18","وَإِن تُكَذِّبُوا فَقَدْ كَذَّبَ أُمَمٌ مِّن قَبْلِكُمْ ۖ وَمَا عَلَى الرَّسُولِ إِلَّا الْبَلَاغُ الْمُبِينُ","اور اگر تم جھٹلاتے ہو تو تم سے پہلے بہت سی قومیں جھٹلا چکی ہیں، اور رسول پر صاف صاف پیغام پہنچا دینے کے سوا کوئی ذمّہ داری نہیں ہے""","And if you give the lie (to the Messenger), then many nations before you also gave the lie (to their Messengers). The Messenger is charged with no other duty than to deliver the Message in clear terms.”"
"3359","29","19","أَوَلَمْ يَرَوْا كَيْفَ يُبْدِئُ اللَّهُ الْخَلْقَ ثُمَّ يُعِيدُهُ ۚ إِنَّ ذَٰلِكَ عَلَى اللَّهِ يَسِيرٌ","کیا اِن لوگوں نے کبھی دیکھا ہی نہیں ہے کہ اللہ کس طرح خلق کی ابتدا کرتا ہے، پھر اُس کا اعادہ کرتا ہے؟ یقیناً یہ (اعادہ تو) اللہ کے لیے آسان تر ہے","Have they never observed how Allah creates for the first time and then repeats it? Indeed (to repeat the creation of a thing) is even easier for Allah (than creating it for the first time)."
"3360","29","20","قُلْ سِيرُوا فِي الْأَرْضِ فَانظُرُوا كَيْفَ بَدَأَ الْخَلْقَ ۚ ثُمَّ اللَّهُ يُنشِئُ النَّشْأَةَ الْآخِرَةَ ۚ إِنَّ اللَّهَ عَلَىٰ كُلِّ شَيْءٍ قَدِيرٌ","ان سے کہو کہ زمین میں چلو پھرو اور دیکھو کہ اُس نے کس طرح خلق کی ابتدا کی ہے، پھر اللہ بار دیگر بھی زندگی بخشے گا یقیناً اللہ ہر چیز پر قادر ہے","Say: “Go about the earth and see how He created for the first time, and then Allah will recreate life.” Surely, Allah has power over everything."
"3361","29","21","يُعَذِّبُ مَن يَشَاءُ وَيَرْحَمُ مَن يَشَاءُ ۖ وَإِلَيْهِ تُقْلَبُونَ","جسے چاہے سزا دے اور جس پر چاہے رحم فرمائے، اُسی کی طرف تم پھیرے جانے والے ہو","He chastises whom He will and forgives whom He will. To Him all of you will be sent back."
"3362","29","22","وَمَا أَنتُم بِمُعْجِزِينَ فِي الْأَرْضِ وَلَا فِي السَّمَاءِ ۖ وَمَا لَكُم مِّن دُونِ اللَّهِ مِن وَلِيٍّ وَلَا نَصِيرٍ","تم نہ زمین میں عاجز کرنے والے ہو نہ آسمان میں، اور اللہ سے بچانے والا کوئی سرپرست اور مدد گار تمہارے لیے نہیں ہے","You cannot overpower Allah, neither on the earth nor in the heaven. None can protect you from Allah nor come to your aid against Him."
"3363","29","23","وَالَّذِينَ كَفَرُوا بِآيَاتِ اللَّهِ وَلِقَائِهِ أُولَـٰئِكَ يَئِسُوا مِن رَّحْمَتِي وَأُولَـٰئِكَ لَهُمْ عَذَابٌ أَلِيمٌ","جن لوگوں نے اللہ کی آیات کا اور اس سے ملاقات کا انکار کیا ہے وہ میری رحمت سے مایوس ہو چکے ہیں اور ان کے لیے درد ناک سزا ہے","Those who disbelieved in Allah's signs and in meeting Him, it is they who have despaired of My Mercy; it is they for whom a painful chastisement lies ahead."
"3364","29","24","فَمَا كَانَ جَوَابَ قَوْمِهِ إِلَّا أَن قَالُوا اقْتُلُوهُ أَوْ حَرِّقُوهُ فَأَنجَاهُ اللَّهُ مِنَ النَّارِ ۚ إِنَّ فِي ذَٰلِكَ لَآيَاتٍ لِّقَوْمٍ يُؤْمِنُونَ","پھر اُس کی قوم کا جواب اِس کے سوا کچھ نہ تھا کہ انہوں نے کہا ""قتل کر دو اِسے یا جلا ڈالو اِس کو"" آخر کار اللہ نے اسے آگ سے بچا لیا، یقیناً اس میں نشانیاں ہیں اُن لوگوں کے لیے جو ایمان لانے والے ہیں","The people (of Abraham) had no other answer than to say: “Kill him or burn him.” But Allah delivered him from the fire. There are many Signs in this for those who believe."
"3365","29","25","وَقَالَ إِنَّمَا اتَّخَذْتُم مِّن دُونِ اللَّهِ أَوْثَانًا مَّوَدَّةَ بَيْنِكُمْ فِي الْحَيَاةِ الدُّنْيَا ۖ ثُمَّ يَوْمَ الْقِيَامَةِ يَكْفُرُ بَعْضُكُم بِبَعْضٍ وَيَلْعَنُ بَعْضُكُم بَعْضًا وَمَأْوَاكُمُ النَّارُ وَمَا لَكُم مِّن نَّاصِرِينَ","اور اُس نے کہا ""تم نے دنیا کی زندگی میں تو اللہ کو چھوڑ کر بتوں کو اپنے درمیان محبت کا ذریعہ بنا لیا ہے مگر قیامت کے روز تم ایک دُوسرے کا انکار اور ایک دُوسرے پر لعنت کرو گے اور آگ تمہارا ٹھکانا ہو گی اور کوئی تمہارا مدد گار نہ ہو گا""","He said: “You have taken up idols instead of Allah as a bond of love among yourselves in the present life, but on the Day of Resurrection you will disown and curse one another. Your refuge shall be the Fire, and none will come to your aid.”"
"3366","29","26","۞ فَآمَنَ لَهُ لُوطٌ ۘ وَقَالَ إِنِّي مُهَاجِرٌ إِلَىٰ رَبِّي ۖ إِنَّهُ هُوَ الْعَزِيزُ الْحَكِيمُ","اُس وقت لوطؑ نے اُس کو مانا اور ابراہیمؑ نے کہا میں اپنے رب کی طرف ہجرت کرتا ہوں، وہ زبردست ہے اور حکیم ہے","Then did Lot believe him, and Abraham said: “I am emigrating unto my Lord. He is All-Powerful, All-Wise,”"
"3367","29","27","وَوَهَبْنَا لَهُ إِسْحَاقَ وَيَعْقُوبَ وَجَعَلْنَا فِي ذُرِّيَّتِهِ النُّبُوَّةَ وَالْكِتَابَ وَآتَيْنَاهُ أَجْرَهُ فِي الدُّنْيَا ۖ وَإِنَّهُ فِي الْآخِرَةِ لَمِنَ الصَّالِحِينَ","اور ہم نے اسے اسحاقؑ اور یعقوبؑ (جیسی اولاد) عنایت فرمائی اور اس کی نسل میں نبوت اور کتاب رکھ دی، اور اسے دنیا میں اُس کا اجر عطا کیا اور آخرت میں وہ یقیناً صالحین میں سے ہو گا","and We bestowed upon him (offspring like) Isaac and Jacob, and bestowed prophethood and the Book on his descendants and granted him his reward in this world; he will certainly be among the righteous in the Hereafter."
"3368","29","28","وَلُوطًا إِذْ قَالَ لِقَوْمِهِ إِنَّكُمْ لَتَأْتُونَ الْفَاحِشَةَ مَا سَبَقَكُم بِهَا مِنْ أَحَدٍ مِّنَ الْعَالَمِينَ","اور ہم نے لوطؑ کو بھیجا جبکہ اُس نے اپنی قوم سے کہا ""تم تو وہ فحش کام کرتے ہو جو تم سے پہلے دنیا والوں میں سے کسی نے نہیں کیا ہے","We sent Lot and he said to his people: “You commit the abomination that none in the world ever committed before you."
"3369","29","29","أَئِنَّكُمْ لَتَأْتُونَ الرِّجَالَ وَتَقْطَعُونَ السَّبِيلَ وَتَأْتُونَ فِي نَادِيكُمُ الْمُنكَرَ ۖ فَمَا كَانَ جَوَابَ قَوْمِهِ إِلَّا أَن قَالُوا ائْتِنَا بِعَذَابِ اللَّهِ إِن كُنتَ مِنَ الصَّادِقِينَ","کیا تمہارا حال یہ ہے کہ مَردوں کے پاس جاتے ہو، اور رہزنی کرتے ہو اور اپنی مجلسوں میں بُرے کام کرتے ہو؟"" پھر کوئی جواب اس کی قوم کے پاس اس کے سوا نہ تھا کہ انہوں نے کہا ""لے آ اللہ کا عذاب اگر تو سچّا ہے""","What! Do you go to men (to satisfy your lust), engage in highway robbery, and commit evil deeds in your gatherings?” Then they had no answer to offer other than to say: “Bring Allah's chastisement upon us if you are truthful.”"
"3370","29","30","قَالَ رَبِّ انصُرْنِي عَلَى الْقَوْمِ الْمُفْسِدِينَ","لوطؑ نے کہا ""اے میرے رب، اِن مفسد لوگوں کے مقابلے میں میری مدد فرما""","Lot said: “My Lord, aid me against these mischievous people.”"
"3371","29","31","وَلَمَّا جَاءَتْ رُسُلُنَا إِبْرَاهِيمَ بِالْبُشْرَىٰ قَالُوا إِنَّا مُهْلِكُو أَهْلِ هَـٰذِهِ الْقَرْيَةِ ۖ إِنَّ أَهْلَهَا كَانُوا ظَالِمِينَ","اور جب ہمارے فرستادے ابراہیمؑ کے پاس بشارت لے کر پہنچے تو انہوں نے اُس سے کہا ""ہم اِس بستی کے لوگوں کو ہلاک کرنے والے ہیں، اس کے لوگ سخت ظالم ہو چکے ہیں""","When Our emissaries brought the good news to Abraham, and said (to him): “We are surely going to destroy the inhabitants of this city; its inhabitants are immersed in wrong-doing.”"
"3372","29","32","قَالَ إِنَّ فِيهَا لُوطًا ۚ قَالُوا نَحْنُ أَعْلَمُ بِمَن فِيهَا ۖ لَنُنَجِّيَنَّهُ وَأَهْلَهُ إِلَّا امْرَأَتَهُ كَانَتْ مِنَ الْغَابِرِينَ","ابراہیمؑ نے کہا ""وہاں تو لوطؑ موجود ہے"" انہوں نے کہا ""ہم خوب جانتے ہیں کہ وہاں کون کون ہے ہم اُسے، اور اس کی بیوی کے سوا اس کے باقی گھر والوں کو بچا لیں گے"" اس کی بیوی پیچھے رہ جانے والوں میں سے تھی","Abraham said: “But Lot is there.” They replied: “We are well aware of those who are there. We shall save him and all his household except his wife.” His wife is among those who will stay behind."
"3373","29","33","وَلَمَّا أَن جَاءَتْ رُسُلُنَا لُوطًا سِيءَ بِهِمْ وَضَاقَ بِهِمْ ذَرْعًا وَقَالُوا لَا تَخَفْ وَلَا تَحْزَنْ ۖ إِنَّا مُنَجُّوكَ وَأَهْلَكَ إِلَّا امْرَأَتَكَ كَانَتْ مِنَ الْغَابِرِينَ","پھر جب ہمارے فرستادے لوطؑ کے پاس پہنچے تو ان کی آمد پر وہ سخت پریشان اور دل تنگ ہوا اُنہوں نے کہا ""نہ ڈرو اور نہ رنج کرو ہم تمہیں اور تمہارے گھر والوں کو بچا لیں گے، سوائے تمہاری بیوی کے جو پیچھے رہ جانے والوں میں سے ہے","When Our emissaries came to Lot he was distressed and embarrassed on their account. They said: “Do not fear nor be distressed. We shall save you and all your household except your wife who is among those that will stay behind."
"3374","29","34","إِنَّا مُنزِلُونَ عَلَىٰ أَهْلِ هَـٰذِهِ الْقَرْيَةِ رِجْزًا مِّنَ السَّمَاءِ بِمَا كَانُوا يَفْسُقُونَ","ہم اس بستی کے لوگوں پر آسمان سے عذاب نازل کرنے والے ہیں اُس فسق کی بدولت جو یہ کرتے رہے ہیں""","We shall bring down upon the people of this city a scourge from the heaven because of their evildoing.”"
"3375","29","35","وَلَقَد تَّرَكْنَا مِنْهَا آيَةً بَيِّنَةً لِّقَوْمٍ يَعْقِلُونَ","اور ہم نے اُس بستی کی ایک کھُلی نشانی چھوڑ دی ہے اُن لوگوں کے لیے جو عقل سے کام لیتے ہیں","And We have left a vestige of it in that city as a Clear Sign for a people who use their reason."
"3376","29","36","وَإِلَىٰ مَدْيَنَ أَخَاهُمْ شُعَيْبًا فَقَالَ يَا قَوْمِ اعْبُدُوا اللَّهَ وَارْجُوا الْيَوْمَ الْآخِرَ وَلَا تَعْثَوْا فِي الْأَرْضِ مُفْسِدِينَ","اور مَدیَن کی طرف ہم نے اُن کے بھائی شعیب کو بھیجا اُس نے کہا ""اے میری قوم کے لوگو، اللہ کی بندگی کرو اور روزِ آخر کے امیدوار رہو اور زمین میں مفسد بن کر زیادتیاں نہ کرتے پھرو""","And We sent to Midian their brother Shuayb. He said: “My people, serve Allah and look forward to the Last Day and do not go about the earth committing mischief.”"
"3377","29","37","فَكَذَّبُوهُ فَأَخَذَتْهُمُ الرَّجْفَةُ فَأَصْبَحُوا فِي دَارِهِمْ جَاثِمِينَ","مگر انہوں نے اسے جھٹلا دیا آخر کار ایک سخت زلزلے نے انہیں آ لیا اور وہ اپنے گھروں میں پڑے کے پڑے رہ گئے","But they denounced him as a liar. So a mighty earthquake overtook them, and by the morning they lay overturned in their houses."
"3378","29","38","وَعَادًا وَثَمُودَ وَقَد تَّبَيَّنَ لَكُم مِّن مَّسَاكِنِهِمْ ۖ وَزَيَّنَ لَهُمُ الشَّيْطَانُ أَعْمَالَهُمْ فَصَدَّهُمْ عَنِ السَّبِيلِ وَكَانُوا مُسْتَبْصِرِينَ","اور عاد و ثمود کو ہم نے ہلاک کیا، تم وہ مقامات دیکھ چکے ہو جہاں وہ رہتے تھے اُن کے اعمال کو شیطان نے اُن کے لیے خوشنما بنا دیا اور انہیں راہِ راست سے برگشتہ کر دیا حالانکہ وہ ہوش گوش رکھتے تھے","And We destroyed Ad and Thamud, whose dwellings you have observed. Satan had embellished their deeds for them and had turned them away from the Right Path although they were a people of clear perception."
"3379","29","39","وَقَارُونَ وَفِرْعَوْنَ وَهَامَانَ ۖ وَلَقَدْ جَاءَهُم مُّوسَىٰ بِالْبَيِّنَاتِ فَاسْتَكْبَرُوا فِي الْأَرْضِ وَمَا كَانُوا سَابِقِينَ","اور قارون و فرعون و ہامان کو ہم نے ہلاک کیا موسیٰؑ اُن کے پاس بیّنات لے کر آیا مگر انہوں نے زمین میں اپنی بڑائی کا زعم کیا حالانکہ وہ سبقت لے جانے والے نہ تھے","And We destroyed Qarun (Korah) and Pharaoh and Haman. Moses came to them with Clear Signs but they waxed arrogant in the land although they could not have outstripped (Us)."
"3380","29","40","فَكُلًّا أَخَذْنَا بِذَنبِهِ ۖ فَمِنْهُم مَّنْ أَرْسَلْنَا عَلَيْهِ حَاصِبًا وَمِنْهُم مَّنْ أَخَذَتْهُ الصَّيْحَةُ وَمِنْهُم مَّنْ خَسَفْنَا بِهِ الْأَرْضَ وَمِنْهُم مَّنْ أَغْرَقْنَا ۚ وَمَا كَانَ اللَّهُ لِيَظْلِمَهُمْ وَلَـٰكِن كَانُوا أَنفُسَهُمْ يَظْلِمُونَ","آخر کار ہر ایک کو ہم نے اس کے گناہ میں پکڑا، پھر ان میں سے کسی پر ہم نے پتھراؤ کرنے والی ہوا بھیجی، اور کسی کو ایک زبردست دھماکے نے آ لیا، اور کسی کو ہم نے زمین میں دھسا دیا، اور کسی کو غرق کر دیا اللہ اُن پر ظلم کرنے والا نہ تھا، مگر وہ خود ہی اپنے اوپر ظلم کر رہے تھے","So We seized each for their sin. We let loose upon some a violent tornado with showers of stones; some were overtaken by a mighty Cry; some were caused to be swallowed up by the earth, and some We drowned. Allah would not wrong them, but it is they who wronged themselves."
"3381","29","41","مَثَلُ الَّذِينَ اتَّخَذُوا مِن دُونِ اللَّهِ أَوْلِيَاءَ كَمَثَلِ الْعَنكَبُوتِ اتَّخَذَتْ بَيْتًا ۖ وَإِنَّ أَوْهَنَ الْبُيُوتِ لَبَيْتُ الْعَنكَبُوتِ ۖ لَوْ كَانُوا يَعْلَمُونَ","جن لوگوں نے اللہ کو چھوڑ کر دُوسرے سرپرست بنا لیے ہیں اُن کی مثال مکڑی جیسی ہے جو اپنا ایک گھر بناتی ہے اور سب گھروں سے زیادہ کمزور گھر مکڑی کا گھر ہی ہوتا ہے کاش یہ لوگ علم رکھتے","The case of those who took others than Allah as their protectors is that of a spider who builds a house; but the frailest of all houses is the spider's house; if they only knew."
"3382","29","42","إِنَّ اللَّهَ يَعْلَمُ مَا يَدْعُونَ مِن دُونِهِ مِن شَيْءٍ ۚ وَهُوَ الْعَزِيزُ الْحَكِيمُ","یہ لوگ اللہ کو چھوڑ کر جس چیز کو بھی پکارتے ہیں اللہ اسے خوب جانتا ہے اور وہی زبردست اور حکیم ہے","Surely Allah knows fully what they call upon apart from Him. He is the Most Powerful, the Most Wise."
"3383","29","43","وَتِلْكَ الْأَمْثَالُ نَضْرِبُهَا لِلنَّاسِ ۖ وَمَا يَعْقِلُهَا إِلَّا الْعَالِمُونَ","یہ مثالیں ہم لوگوں کی فہمائش کے لیے دیتے ہیں، مگر ان کو وہی لوگ سمجھتے ہیں جو علم رکھنے والے ہیں","These are the parables that We set forth to make people understand. But only those endowed with knowledge will comprehend them."
"3384","29","44","خَلَقَ اللَّهُ السَّمَاوَاتِ وَالْأَرْضَ بِالْحَقِّ ۚ إِنَّ فِي ذَٰلِكَ لَآيَةً لِّلْمُؤْمِنِينَ","اللہ نے آسمانوں اور زمین کو برحق پیدا کیا ہے، در حقیقت اِس میں ایک نشانی ہے اہلِ ایمان کے لیے","Allah has created the heavens and the earth in Truth. Certainly there is a Sign in this for those who believe."
"3385","29","45","اتْلُ مَا أُوحِيَ إِلَيْكَ مِنَ الْكِتَابِ وَأَقِمِ الصَّلَاةَ ۖ إِنَّ الصَّلَاةَ تَنْهَىٰ عَنِ الْفَحْشَاءِ وَالْمُنكَرِ ۗ وَلَذِكْرُ اللَّهِ أَكْبَرُ ۗ وَاللَّهُ يَعْلَمُ مَا تَصْنَعُونَ","(اے نبیؐ) تلاوت کرو اس کتاب کی جو تمہاری طرف وحی کے ذریعہ سے بھیجی گئی ہے اور نماز قائم کرو، یقیناً نماز فحش اور بُرے کاموں سے روکتی ہے اور اللہ کا ذکر اس سے بھی زیادہ بڑی چیز ہے اللہ جانتا ہے جو کچھ تم لوگ کرتے ہو","(O Prophet), recite the Book that has been revealed to you and establish Prayer. Surely Prayer forbids indecency and evil. And Allah's remembrance is of even greater merit. Allah knows all that you do."
"3386","29","46","۞ وَلَا تُجَادِلُوا أَهْلَ الْكِتَابِ إِلَّا بِالَّتِي هِيَ أَحْسَنُ إِلَّا الَّذِينَ ظَلَمُوا مِنْهُمْ ۖ وَقُولُوا آمَنَّا بِالَّذِي أُنزِلَ إِلَيْنَا وَأُنزِلَ إِلَيْكُمْ وَإِلَـٰهُنَا وَإِلَـٰهُكُمْ وَاحِدٌ وَنَحْنُ لَهُ مُسْلِمُونَ","اور اہل کتاب سے بحث نہ کرو مگر عمدہ طریقہ سے، سوائے اُن لوگوں کے جو اُن میں سے ظالم ہوں، اور اُن سے کہو کہ ""ہم ایمان لائے ہیں اُس چیز پر بھی جو ہماری طرف بھیجی گئی ہے اور اُس چیز پر بھی جو تمہاری طرف بھیجی گئی تھی، ہمارا خدا اور تمہارا خدا ایک ہی ہے اور ہم اُسی کے مُسلم (فرماں بردار) ہیں""","Argue not with the People of the Book except in the fairest manner, unless it be those of them that are utterly unjust. Say to them: “We believe in what was revealed to us and what was revealed to you. One is our God and your God; and we are those who submit ourselves to Him.”"
"3387","29","47","وَكَذَٰلِكَ أَنزَلْنَا إِلَيْكَ الْكِتَابَ ۚ فَالَّذِينَ آتَيْنَاهُمُ الْكِتَابَ يُؤْمِنُونَ بِهِ ۖ وَمِنْ هَـٰؤُلَاءِ مَن يُؤْمِنُ بِهِ ۚ وَمَا يَجْحَدُ بِآيَاتِنَا إِلَّا الْكَافِرُونَ","(اے نبیؐ) ہم نے اِسی طرح تمہاری طرف کتاب نازل کی ہے، اس لیے وہ لوگ جن کو ہم نے پہلے کتاب دی تھی وہ اس پر ایمان لاتے ہیں، اور اِن لوگوں میں سے بھی بہت سے اس پر ایمان لا رہے ہیں، اور ہماری آیات کا انکار صرف کافر ہی کرتے ہیں","(O Prophet), thus have We bestowed the Book on you. So those on whom We had bestowed the Book before believe in it, and of these (Arabs) too a good many believe in it. It is none but the utter unbelievers who deny Our Signs."
"3388","29","48","وَمَا كُنتَ تَتْلُو مِن قَبْلِهِ مِن كِتَابٍ وَلَا تَخُطُّهُ بِيَمِينِكَ ۖ إِذًا لَّارْتَابَ الْمُبْطِلُونَ","(اے نبیؐ) تم اس سے پہلے کوئی کتاب نہیں پڑھتے تھے اور نہ اپنے ہاتھ سے لکھتے تھے، اگر ایسا ہوتا تو باطل پرست لوگ شک میں پڑ سکتے تھے","(O Prophet), you did not recite any Book before, nor did you write it down with your hand; for then the votaries of falsehood would have had a cause for doubt."
"3389","29","49","بَلْ هُوَ آيَاتٌ بَيِّنَاتٌ فِي صُدُورِ الَّذِينَ أُوتُوا الْعِلْمَ ۚ وَمَا يَجْحَدُ بِآيَاتِنَا إِلَّا الظَّالِمُونَ","دراصل یہ روشن نشانیاں ہیں اُن لوگوں کے دلوں میں جنہیں عِلم بخشا گیا ہے، اور ہماری آیات کا انکار نہیں کرتے مگر وہ جو ظالم ہیں","But it is a set of Clear Signs in the hearts of those who have been endowed with knowledge. None except the utterly unjust will deny Our Signs."
"3390","29","50","وَقَالُوا لَوْلَا أُنزِلَ عَلَيْهِ آيَاتٌ مِّن رَّبِّهِ ۖ قُلْ إِنَّمَا الْآيَاتُ عِندَ اللَّهِ وَإِنَّمَا أَنَا نَذِيرٌ مُّبِينٌ","یہ لوگ کہتے ہیں کہ ""کیوں نہ اتاری گئی اس شخص پر نشانیاں اِس کے رب کی طرف سے؟"" کہو، ""نشانیاں تو اللہ کے پاس ہیں اور میں صرف خبردار کرنے والا ہوں کھول کھول کر""","They say: “Why were Signs from his Lord not sent down upon him?” Say: “The Signs are only with Allah. As for me, I am no more than a plain warner.”"
"3391","29","51","أَوَلَمْ يَكْفِهِمْ أَنَّا أَنزَلْنَا عَلَيْكَ الْكِتَابَ يُتْلَىٰ عَلَيْهِمْ ۚ إِنَّ فِي ذَٰلِكَ لَرَحْمَةً وَذِكْرَىٰ لِقَوْمٍ يُؤْمِنُونَ","اور کیا اِن لوگوں کے لیے یہ (نشانی) کافی نہیں ہے کہ ہم نے تم پر کتاب نازل کی جو اِنہیں پڑھ کر سُنائی جاتی ہے؟ در حقیقت اِس میں رحمت ہے اور نصیحت ہے اُن لوگوں کے لیے جو ایمان لاتے ہیں","Does it not suffice for them (as a Sign) that We revealed to you the Book that is recited to them? Surely there is mercy and good counsel in it for those who believe."
"3392","29","52","قُلْ كَفَىٰ بِاللَّهِ بَيْنِي وَبَيْنَكُمْ شَهِيدًا ۖ يَعْلَمُ مَا فِي السَّمَاوَاتِ وَالْأَرْضِ ۗ وَالَّذِينَ آمَنُوا بِالْبَاطِلِ وَكَفَرُوا بِاللَّهِ أُولَـٰئِكَ هُمُ الْخَاسِرُونَ","(اے نبیؐ) کہو کہ ""میرے اور تمہارے درمیان اللہ گواہی کے لیے کافی ہے وہ آسمانوں اور زمین میں سب کچھ جانتا ہے جو لوگ باطل کو مانتے ہیں اور اللہ سے کفر کرتے ہیں وہی خسارے میں رہنے والے ہیں""","Say (O Prophet): “Allah suffices as a witness between me and you. He knows whatever is in the heavens and the earth. As for those who believe in falsehood and are engaged in infidelity with Allah, it is they who will be the losers.”"
"3393","29","53","وَيَسْتَعْجِلُونَكَ بِالْعَذَابِ ۚ وَلَوْلَا أَجَلٌ مُّسَمًّى لَّجَاءَهُمُ الْعَذَابُ وَلَيَأْتِيَنَّهُم بَغْتَةً وَهُمْ لَا يَشْعُرُونَ","یہ لوگ تم سے عذاب جلدی لانے کا مطالبہ کرتے ہیں اگر ایک وقت مقرر نہ کر دیا گیا ہوتا تو ان پر عذاب آ چکا ہوتا اور یقیناً (اپنے وقت پر) وہ آ کر رہے گا اچانک، اس حال میں کہ انہیں خبر بھی نہ ہو گی","They ask you to hasten in bringing chastisement upon them. Had there not been an appointed term for it, the chastisement would have already visited them; in fact it will come down upon them all of a sudden (at its appointed time) while they will not be aware of it."
"3394","29","54","يَسْتَعْجِلُونَكَ بِالْعَذَابِ وَإِنَّ جَهَنَّمَ لَمُحِيطَةٌ بِالْكَافِرِينَ","یہ تم سے عذاب جلدی لانے کا مطالبہ کرتے ہیں، حالانکہ جہنم ان کافروں کو گھیرے میں لے چکی ہے","They ask you to hasten the chastisement upon them although Hell encompasses the unbelievers."
"3395","29","55","يَوْمَ يَغْشَاهُمُ الْعَذَابُ مِن فَوْقِهِمْ وَمِن تَحْتِ أَرْجُلِهِمْ وَيَقُولُ ذُوقُوا مَا كُنتُمْ تَعْمَلُونَ","(اور انہیں پتہ چلے گا) اُس روز جبکہ عذاب انہیں اُوپر سے بھی ڈھانک لے گا اور پاؤں کے نیچے سے بھی اور کہے گا کہ اب چکھو مزا ان کرتوتوں کا جو تم کرتے تھے","(They will become aware of it) the Day when the chastisement will overwhelm them from above and from under their feet, and He will say to them: “Taste now the consequence of the deeds that you used to commit.”"
"3396","29","56","يَا عِبَادِيَ الَّذِينَ آمَنُوا إِنَّ أَرْضِي وَاسِعَةٌ فَإِيَّايَ فَاعْبُدُونِ","اے میرے بندو جو ایمان لائے ہو، میری زمین وسیع ہے، پس تم میری بندگی بجا لاؤ","O My servants who believe, verily My earth is vast; so serve Me alone."
"3397","29","57","كُلُّ نَفْسٍ ذَائِقَةُ الْمَوْتِ ۖ ثُمَّ إِلَيْنَا تُرْجَعُونَ","ہر متنفس کو موت کا مزا چکھنا ہے، پھر تم سب ہماری طرف ہی پلٹا کر لائے جاؤ گے","Every being shall taste death, then it is to Us that you shall be sent back."
"3398","29","58","وَالَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ لَنُبَوِّئَنَّهُم مِّنَ الْجَنَّةِ غُرَفًا تَجْرِي مِن تَحْتِهَا الْأَنْهَارُ خَالِدِينَ فِيهَا ۚ نِعْمَ أَجْرُ الْعَامِلِينَ","جو لوگ ایمان لائے ہیں اور جنہوں نے نیک عمل کیے ہیں ان کو ہم جنت کی بلند و بالا عمارتوں میں رکھیں گے جن کے نیچے نہریں بہتی ہوں گی، وہاں وہ ہمیشہ رہیں گے، کیا ہی عمدہ اجر ہے عمل کرنے والوں کے لیے","We shall house those who believed and acted righteously in the lofty mansions of Paradise beneath which rivers flow. There they shall remain for ever. How excellent a reward it is for those who acted (in obedience to Allah),"
"3399","29","59","الَّذِينَ صَبَرُوا وَعَلَىٰ رَبِّهِمْ يَتَوَكَّلُونَ","اُن لوگوں کے لیے جنہوں نے صبر کیا ہے اور جو اپنے رب پر بھروسہ کرتے ہیں","who remained steadfast and put their trust in their Lord!"
